id,cpf,created_at,cnpj,full_name,name,email_address
25,96442198057,9/5/2019,34459173000194,Jose Mauro de Castro,011 Hamburguer,011_hamburguer@gmail.com
40,59114168081,7/30/2019,34459173000194,Giovanna Neto da Silva,011 Hamburguer,011_hamburguer@gmail.com
45,76970622088,7/25/2019,34459173000194,Junior Marcelo Wards,011 Hamburguer,011_hamburguer@gmail.com
8,32331091056,10/2/2019,63444312000104,Rodrigo Kunirama,Athletica Food,athleticaf00d@gmail.com
21,66853510046,9/8/2019,63444312000104,Mauro Silva Dias,Athletica Food,athleticaf00d@gmail.com
9,32927868000,6/4/2019,63640525000101,Helder Rondonia,Avant Garde Appraisal,agappraisal@gmail.com
47,55951871077,8/29/2019,17667288000155,Maria Silva Magalhaes,Bettendorf's,betterndors_magalhaes@ig.com.br
32,17835869071,7/11/2019,82017989000100,Marcela Camargo da Silva,Camargo Tapecaria,tapecariacamargo@hotmail.com
34,26838412055,12/21/2019,64886016000126,Manoel Carvalho,Carvalho Chaveiros,chaveiroscarvalho@hotmail.com
7,56491511057,4/19/2019,57781915000107,Louis Pepino,Casas Antonnova,casas.anto@gmail.com
18,41741270006,8/23/2019,56210041000167,Cristiano Jesus Souza,Cut Above,cut_above@gmail.com
11,34743798019,5/9/2019,48153586000150,Ariane Houchinol,Farmer Jack,farmerjackcompany@gmail.com
20,46822589074,6/9/2019,79827384000170,Lidiane Galhardo,Fayva,favya_lidi@yahoo.com
48,62315486009,9/20/2019,56296578000191,Juliana Huttz Schawrs,Finast,contatohutts@gmail.com.br
13,32887048031,7/12/2019,15060128000118,Flavio Akinao,Friendly Advice,fadvice@gmail.com
26,12815491001,7/9/2019,58143458000180,Patricia Jesutto,Grade A Investment,grade_investiment_a@uol.com.br
5,86674271012,7/4/2019,36576933000179,Riccardo Brazil,happy path,happy_path@gmail.com
6,95339739007,3/2/2019,36576933000179,Felipe Dois,happy path,happy_path@gmail.com
22,77191547030,5/19/2019,23251892000107,Carlos Eduardo Lima,Honest Air Group,honest_air@uol.com.br
36,31389753050,6/16/2019,87492508000132,Melissa Huits,Huits Perfumes,huits_perfume@outlook.com
46,64283034002,5/17/2019,61096307000122,Mariana Jeisutto Silva,Integra Investment Plan,integraplan_invest@uol.com.br
23,70671402005,10/12/2019,44681156000150,Marcio Setubal Lara,Jesse Cabelereiro,jesse_cabelos@outlook.com
15,9571295051,6/11/2019,85633121000123,Joao de Melo,Kash n' Karry,kash_nkarry0102@hotmail.com
50,13540909001,11/7/2019,71192372000105,Raquel da Silva Mantts,Keeney's,keeney@gmail.com
31,15582422013,2/2/2019,48975283000113,Melidio Lima Santos,Lima Salgados,limasalgados@uol.com.br
39,12066738000,3/14/2019,47260965000187,Julio Cesar Manoel,Manoel salgados,manoel_salgados@hotmail.com
38,13540909001,9/10/2019,55591005000128,Raquel da Silva Mantts,mantts alicates,alicatesmantts@gmail.com
37,89277638079,9/30/2019,55801853000114,Eduardo Marchello Fuentes,Marchello Mecanica,marchellomecanica@mecanicamarchello.com.br
27,61325617067,4/27/2019,11737276000173,Mauricio Sanchez,Mauricio TI,ti_mauricio@timauricio.com.br
33,21740674049,12/1/2019,19895183000189,Suzete Mendes,mendes confeitaria,confeitaria_mendes@confeitariamendes.com
1,49010234037,7/6/2019,18329205000180,Leonardo Trabilho,mica,mica@gmail.com
2,66378851000,1/14/2019,18329205000180,Talita Angileta,mica,mica@gmail.com
17,37115423016,6/26/2019,47294937000180,Marcus Camacho,Mighty Casey's,mighty_caseys@outlook.com
12,53128188017,6/12/2019,35567145000153,Leonardo Abssalido,Parade of Shoes,shoesparades@gmail.com
43,86191732007,5/10/2019,17941630000163,Patricio Suzano Silva,Patricio cabelos,patriciocabelos@cabelospatricio.com.br
30,68842146005,1/15/2019,86296771000193,Suzana Peixoto,Peixoto Bolos,peixotosbolos@ig.com.br
28,37718722007,5/10/2019,81246158000148,Ricardo Loius Pews,Pews Costureiro,pews_costureiro@hotmail.com
24,91669286053,11/21/2019,92004596000116,Larissa Mendez Luizz,Record & Tape Outlet,recordtape_outlet@gmail.com
16,52398596044,5/24/2019,43268257000131,Marilia Monzano,Restaurante Clinicas,restaurante_clinicas@gmail.com
29,31663996075,10/12/2019,43268257000131,Monica Destriz Lima,Restaurante Clinicas,restaurante_clinicas@gmail.com
35,91734463007,12/14/2019,43268257000131,Carlos Cavalcante,Restaurante Clinicas,restaurante_clinicas@gmail.com
41,76285079056,11/5/2019,66331359000150,Luiz Nogueira,Sapatos do Luiz,luiz_sapatosluiz@gmail.com
49,81244766089,7/24/2019,97571666000131,Lucas Schimotto,schimotto sorvetes,schimotto_sorvetes@gmail.com
42,81244766089,3/24/2019,53626391000110,Lucas Schimotto,sciavon pamonhas,pamonhassciavon@uol.com.br
14,36332191023,1/11/2019,44041317000141,Florian Konkat,Sportmart,sportmart_2013@gmail.com
4,76376833039,4/6/2019,66627417000197,Eduardo Esmeralda,sterna cafe,sterna.cafe@gmail.com
44,81326471066,7/8/2019,94080520000103,Marcos Vinicius Juntt,The Record Shops at TSS,recordshops@hotmail.com
3,55743379084,2/22/2019,69739046000123,Vinicius Barrado,unicornio store,financas_unicornio@uni.com
19,13458382046,1/22/2019,35737433000109,Maria Lourdes Lima,Vinyl Fever,vinyl_fever@gmail.com
10,75589121051,7/26/2019,44996062000170,Hissashi Robello,Young Heart,youngheart@outlook.com
